City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,novodvinsk,64.4165,40.8122,-5.14,96,40,1.09,RU,1730518046
125,kirakira,-10.4544,161.9205,28.67,76,30,2.75,SB,1730517914
126,la passe,45.5549,-0.8967,13.66,77,1,3.66,FR,1730518048
127,tidjikja,18.5564,-11.4271,28.51,22,100,3.11,MR,1730518050
128,susanville,40.4163,-120.653,3.23,87,100,1.94,US,1730518020
129,tsawwassen,49.018,-123.0817,8.01,100,100,6.69,CA,1730518052
130,solnechnyy,50.7214,136.6319,2.38,41,9,1.39,RU,1730518053
131,lihue,21.9789,-159.3672,25.77,76,75,7.72,US,1730518054
132,hazro,33.9091,72.4921,19.99,30,25,0.09,PK,1730518057
133,anzio,41.4853,12.6179,14.59,66,73,3.19,IT,1730518058
134,papatowai,-46.5619,169.4708,5.15,92,89,12.84,NZ,1730518059
135,jiamusi,46.8333,130.35,5.29,49,8,3.14,CN,1730518060
136,usinsk,65.9939,57.5281,-1.32,98,100,5.99,RU,1730518061
137,invercargill,-46.4,168.35,7.23,68,96,9.83,NZ,1730518062
138,yellowknife,62.456,-114.3525,-7.62,95,75,3.58,CA,1730518064
139,jasper,37.2001,-94.3502,14.1,68,0,3.09,US,1730518065
140,cidreira,-30.1811,-50.2056,21.19,89,100,11.9,BR,1730518066
141,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,30,20,6.0,RU,1730518067
142,kamaishi,39.2667,141.8833,13.58,92,100,2.55,JP,1730518068
143,sechura,-5.5569,-80.8222,17.56,84,57,4.01,PE,1730518069
144,hilo,19.7297,-155.09,23.86,99,100,0.45,US,1730517910
145,kalmunai,7.4167,81.8167,26.54,75,90,1.88,LK,1730518072
146,vanimo,-2.6741,141.3028,24.83,95,100,3.58,PG,1730518073
147,okhotsk,59.3833,143.3,-9.17,60,49,8.59,RU,1730518074
148,reggane,26.7158,0.1714,25.34,18,1,3.39,DZ,1730518076
149,port alfred,-33.5906,26.891,17.32,98,91,0.89,ZA,1730518077
150,agadez,19.75,10.25,20.62,33,28,4.27,NE,1730518079
151,mersa matruh,31.3525,27.2453,19.02,73,99,0.61,EG,1730518080
152,brookings,44.3114,-96.7984,8.0,84,0,3.6,US,1730518081
153,naze,28.3667,129.4833,27.51,80,57,10.94,JP,1730518082
154,thompson,55.7435,-97.8558,-1.91,74,75,1.54,CA,1730518084
155,colchani,-20.3,-66.9333,7.72,27,0,3.66,BO,1730518085
156,urangan,-25.3,152.9,23.73,72,100,1.2,AU,1730518086
157,vila franca do campo,37.7167,-25.4333,20.23,99,100,4.84,PT,1730518087
158,alotau,-10.3069,150.4462,28.23,56,100,2.75,PG,1730518089
159,praia da vitoria,38.7333,-27.0667,19.14,94,20,5.06,PT,1730517854
160,iqaluit,63.7506,-68.5145,-5.15,79,75,6.71,CA,1730518091
161,wakkanai,45.4094,141.6739,10.99,76,75,4.63,JP,1730518092
162,lebu,-37.6167,-73.65,9.93,86,1,0.48,CL,1730518093
163,ilulissat,69.2167,-51.1,-0.99,55,75,5.66,GL,1730518094
164,aripuana,-9.1667,-60.6333,24.28,81,99,0.26,BR,1730518096
165,mahriz,31.5917,54.4318,14.4,43,17,0.23,IR,1730518097
166,vorgashor,67.5833,63.95,-2.39,93,97,5.96,RU,1730518098
167,tangalle,6.024,80.7911,27.08,80,100,1.37,LK,1730518099
168,nemuro,43.3236,145.575,13.89,76,100,1.67,JP,1730518101
169,iskateley,67.6803,53.1512,-1.02,99,100,1.64,RU,1730518103
170,shilka,51.85,116.0333,-2.37,92,100,1.86,RU,1730518104
171,phalaborwa,-23.943,31.1411,21.32,59,0,1.09,ZA,1730518107
172,dauphin,51.1494,-100.0502,-0.92,64,0,1.03,CA,1730518108
173,nar'yan-mar,67.6713,53.087,-1.04,99,100,1.68,RU,1730518109
174,quibala,-10.7337,14.98,16.99,95,100,0.92,AO,1730518110
175,ciudad guayana,8.3533,-62.6528,26.12,77,68,2.84,VE,1730518111
176,mossel bay,-34.1831,22.146,16.96,92,100,1.96,ZA,1730518112
177,tajerouine,35.8917,8.5528,15.79,82,11,3.07,TN,1730518114
178,kapa'a,22.0752,-159.319,26.18,78,75,7.72,US,1730518115
179,sao jose da coroa grande,-8.8978,-35.1478,25.38,70,50,5.11,BR,1730518116
180,mairang,25.5667,91.6333,18.24,70,5,1.53,IN,1730518117
181,puerto baquerizo moreno,-0.9,-89.6,20.17,75,100,6.3,EC,1730518118
182,pacific grove,36.6177,-121.9166,14.68,89,0,1.79,US,1730518119
183,kabalo,-6.05,26.9167,20.18,93,86,0.49,CD,1730518121
184,vorkuta,67.5,64.0,-2.39,94,97,5.85,RU,1730518122
185,shangrao,28.4532,117.9686,21.4,71,60,0.83,CN,1730518123
186,illizi,26.4833,8.4667,24.41,25,88,2.59,DZ,1730518124
187,touros,-5.1989,-35.4608,25.16,73,46,6.9,BR,1730518125
188,susuman,62.7833,148.1667,-14.49,92,100,1.38,RU,1730518128
189,naifaru,5.4444,73.3657,27.27,76,52,2.41,MV,1730518129
190,ancud,-41.8697,-73.8203,8.09,82,25,3.65,CL,1730518130
191,al ghayzah,16.2079,52.176,25.0,69,0,1.63,YE,1730518131
192,cozumel,20.5083,-86.9458,26.49,74,6,5.31,MX,1730518132
193,gaiman,-43.2897,-65.4929,13.11,21,0,9.5,AR,1730517994
194,luderitz,-26.6481,15.1594,14.67,88,6,3.59,NA,1730518135
195,new norfolk,-42.7826,147.0587,22.18,19,100,3.28,AU,1730518136
196,duba,27.3513,35.6901,23.41,51,0,1.5,SA,1730518137
197,sao joao da barra,-21.6403,-41.0511,23.39,89,0,3.66,BR,1730518138
198,abomey,7.1829,1.9912,22.52,95,20,1.51,BJ,1730518139
199,severo-yeniseyskiy,60.3725,93.0408,-10.33,94,100,1.0,RU,1730518141
200,tamiahua,21.2667,-97.45,24.89,88,4,1.88,MX,1730518142
201,kampene,-3.6,26.6667,19.77,98,85,1.13,CD,1730518143
202,minab,27.1467,57.0801,26.05,56,0,0.92,IR,1730518145
203,torghay,49.6339,63.4981,2.44,84,78,4.81,KZ,1730518146
204,carloforte,39.145,8.3058,19.58,82,11,6.32,IT,1730518147
205,codrington,-38.2667,141.9667,24.37,26,100,9.28,AU,1730518148
206,colonia,50.9333,6.95,11.65,93,100,1.03,DE,1730518150
207,lipno,52.8444,19.1785,7.9,86,43,3.13,PL,1730518151
208,sisimiut,66.9395,-53.6735,-2.3,79,100,4.28,GL,1730518152
209,young,-32.6833,-57.6333,19.93,95,0,3.45,UY,1730518153
210,dapa,9.7594,126.0531,28.99,68,87,2.02,PH,1730518155
211,santona,43.4439,-3.4576,16.15,77,12,1.66,ES,1730518157
212,ambon,-3.6954,128.1814,32.08,100,40,2.57,ID,1730518158
213,moree,-29.4667,149.85,31.3,21,0,4.81,AU,1730518159
214,arhavi,41.3492,41.3069,15.32,58,0,1.92,TR,1730518161
215,suva,-18.1416,178.4415,29.71,74,40,4.12,FJ,1730518162
216,saint-francois,46.4154,3.9054,9.69,100,100,1.03,FR,1730518163
217,caleta de carquin,-11.0925,-77.6267,17.87,86,10,3.88,PE,1730518164
218,freetown,8.484,-13.2299,25.79,87,87,1.82,SL,1730518166
219,kabompo,-13.5927,24.2008,19.02,72,94,1.71,ZM,1730518167
220,vanino,49.0869,140.2543,3.34,72,100,2.21,RU,1730518168
221,haiku-pauwela,20.9219,-156.3051,25.68,73,22,9.83,US,1730518169
